,Algo,Kernal,depthORk,TrainSize,TestSize,NotDeleted,Deleted,Time,TrainingResult,TestResult,F1_SCORE,Accuracy,JaccardScore,PRECISION,RECALL,"0,0","0,1","1,0","1,1"
43,DecisionTree,entropy,1,338230,84558,,,1.301321745,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
44,DecisionTree,log_loss,1,338230,84558,,,1.289308071,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
45,DecisionTree,gini,1,338230,84558,,,1.150488377,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
46,DecisionTree,entropy,1,338230,84558,,,1.297264099,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
47,DecisionTree,log_loss,1,338230,84558,,,1.298805475,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
48,DecisionTree,gini,1,338230,84558,,,1.165397167,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
49,DecisionTree,entropy,1,338230,84558,,,1.296007395,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
50,DecisionTree,log_loss,1,338230,84558,,,1.277289391,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
51,DecisionTree,gini,1,338230,84558,,,1.163691521,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
52,DecisionTree,entropy,1,338230,84558,,,1.283919573,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
53,DecisionTree,log_loss,1,338230,84558,,,1.28426671,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
54,DecisionTree,gini,1,338230,84558,,,1.176673889,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
55,DecisionTree,entropy,1,338230,84558,,,1.371902704,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
56,DecisionTree,log_loss,1,338230,84558,,,1.359944582,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
57,DecisionTree,gini,1,338230,84558,,,1.158944607,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
58,DecisionTree,entropy,1,338230,84558,,,1.33244729,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
59,DecisionTree,log_loss,1,338230,84558,,,1.347873688,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
60,DecisionTree,gini,2,338230,84558,,,2.058086395,0.656355143,0.659109724,0.741769317,0.659109724,0.589533642,0.597023535,0.979163218,14333,27944,881,41400
61,DecisionTree,entropy,2,338230,84558,,,2.289264202,0.648499542,0.651008775,0.739490457,0.651008775,0.586659943,0.58994042,0.99061044,13164,29113,397,41884
